"HRvalue","ts","HRvalid","SpO2valid","SpO2value"
"115","1649108316694","true","true","96.727986"
"115","1649108451425","true","true","99.135144"
"65","1649108161222","true","false","'-999"
"65","1649108410058","true","true","95.70606599999999"
"166","1649108244071","true","true","99.24465"
"100","1649108347984","true","false","'-999"
"100","1649108389374","true","true","98.500104"
"100","1649108482492","true","true","98.794776"
"100","1649108503221","true","true","96.727986"
"100","1649108524051","true","false","'-999"
"100","1649108565525","true","true","99.657"
"150","1649108368672","true","true","99.712434"
"150","1649108513549","true","false","'-999"
"93","1649108544735","true","true","0.2865359999999697"
"'-999","1649108150861","false","false","'-999"
"136","1649108181923","true","true","99.796266"
"136","1649108555183","true","true","98.169384"
"46","1649108202702","true","true","99.54225"
"71","1649108264907","true","true","96.23505"
"214","1649108223379","true","false","'-999"
"88","1649108275252","true","false","'-999"
"88","1649108358316","true","true","96.23505"
"88","1649108420405","true","true","96.960936"
"88","1649108472120","true","true","96.23505"
"88","1649108534394","true","false","'-999"
"125","1649108233725","true","true","98.752554"
"125","1649108306318","true","true","99.135144"
"125","1649108327029","true","true","96.23505"
"125","1649108337641","true","true","93.124776"
"125","1649108461775","true","true","99.727416"
"78","1649108213055","true","true","98.651946"
"78","1649108254434","true","true","96.727986"
"78","1649108430728","true","true","99.275976"
"78","1649108441079","true","true","97.3998"
"107","1649108140490","true","true","77.996466"
"107","1649108171567","true","false","'-999"
"107","1649108192268","true","true","98.607"
"107","1649108295971","true","true","95.975064"
"107","1649108379027","true","false","'-999"
"107","1649108399714","true","true","97.802616"
"68","1649108285600","true","true","97.605714"
"83","1649108492880","true","true","98.169384"
"60","1649108575879","true","true","98.452434"